RA_COD,RA_NOME,NARRATIVA
1,Brasília (Plano Piloto),"Brasília (Plano Piloto) reúne moradores de **renda alta** (R$ 7,9 mil per capita), com forte presença de classe A/B (69%) e cerca de 15% dos moradores no serviço público federal. O eleitorado é **grande** (202 mil aptos), com **maioria de eleitores com ensino superior** (70%)."
2,Gama,"Gama reúne moradores de **renda média-baixa** (R$ 1,6 mil per capita), com presença significativa de classe A/B (23%). O eleitorado é **robusto** (128 mil aptos)."
3,Taguatinga,"Taguatinga reúne moradores de **renda média-baixa** (R$ 2,0 mil per capita), com presença significativa de classe A/B (33%). O eleitorado é **grande** (250 mil aptos), com cerca de 44% de eleitores com ensino superior."
4,Brazlândia,"Brazlândia reúne moradores de **renda baixa** (R$ 1,3 mil per capita), com perfil de classes médias mistas. O eleitorado é **médio-grande** (66 mil aptos)."
5,Sobradinho,"Sobradinho reúne moradores de **renda média** (R$ 2,7 mil per capita), com forte presença de classe A/B (45%). O eleitorado é **robusto** (107 mil aptos), com cerca de 32% de eleitores com ensino superior."
6,Planaltina,"Planaltina reúne moradores de **renda baixa** (R$ 1,2 mil per capita), com perfil de classes médias mistas. O eleitorado é **robusto** (149 mil aptos)."
7,Paranoá,"Paranoá reúne moradores de **renda baixa** (R$ 1,2 mil per capita), com presença relevante de classe D/E (41%). O eleitorado é **médio-grande** (67 mil aptos)."
8,Núcleo Bandeirante,"Núcleo Bandeirante reúne moradores de **renda média** (R$ 3,0 mil per capita), com presença significativa de classe A/B (26%). O eleitorado é **médio** (35 mil aptos), com cerca de 32% de eleitores com ensino superior."
9,Ceilândia,"Ceilândia reúne moradores de **renda média-baixa** (R$ 1,7 mil per capita), com perfil de classes médias mistas. O eleitorado é **grande** (286 mil aptos)."
10,Guará,"Guará reúne moradores de **renda média-alta** (R$ 3,6 mil per capita), com forte presença de classe A/B (57%). O eleitorado é **robusto** (111 mil aptos), com cerca de 43% de eleitores com ensino superior. É uma das RAs com maior **proporção de migrantes** — 68% dos moradores nasceram fora do DF."
11,Cruzeiro,"Cruzeiro reúne moradores de **renda média-alta** (R$ 4,7 mil per capita), com forte presença de classe A/B (54%) e presença relevante de funcionalismo público (19%). O eleitorado é **médio** (37 mil aptos), com **maioria de eleitores com ensino superior** (68%)."
12,Samambaia,"Samambaia reúne moradores de **renda média-baixa** (R$ 1,8 mil per capita), com presença significativa de classe A/B (21%). O eleitorado é **robusto** (169 mil aptos)."
13,Santa Maria,"Santa Maria reúne moradores de **renda baixa** (R$ 1,3 mil per capita), com perfil de classes médias mistas e presença relevante de funcionalismo público (16%). O eleitorado é **médio-grande** (92 mil aptos)."
14,São Sebastião,"São Sebastião reúne moradores de **renda baixa** (R$ 1,1 mil per capita), com predominância de classe D/E (54%). O eleitorado é **médio-grande** (77 mil aptos), com cerca de 37% de eleitores com ensino superior. É uma das RAs com maior **proporção de migrantes** — 71% dos moradores nasceram fora do DF."
15,Recanto das Emas,"Recanto das Emas reúne moradores de **renda baixa** (R$ 1,1 mil per capita), com perfil de classes médias mistas. O eleitorado é **médio-grande** (83 mil aptos). Tem **identidade local forte** — 74% dos moradores nasceram no próprio DF."
16,Lago Sul,"Lago Sul reúne moradores de **renda alta** (R$ 11,6 mil per capita), com forte presença de classe A/B (99%) e presença relevante de funcionalismo público (19%). O eleitorado é **médio** (43 mil aptos), com cerca de 38% de eleitores com ensino superior."
17,Riacho Fundo,"Riacho Fundo reúne moradores de **renda média-baixa** (R$ 2,1 mil per capita), com presença significativa de classe A/B (30%). O eleitorado é **médio** (32 mil aptos), com cerca de 32% de eleitores com ensino superior."
18,Lago Norte,"Lago Norte reúne moradores de **renda alta** (R$ 6,9 mil per capita), com forte presença de classe A/B (77%) e presença relevante de funcionalismo público (20%). O eleitorado é **pequeno** (22 mil aptos)."
19,Candangolândia,"Candangolândia reúne moradores de **renda média** (R$ 2,5 mil per capita), com presença significativa de classe A/B (39%). O eleitorado é **pequeno** (18 mil aptos), com cerca de 32% de eleitores com ensino superior."
20,Águas Claras,"Águas Claras reúne moradores de **renda alta** (R$ 6,3 mil per capita), com forte presença de classe A/B (80%) e presença relevante de funcionalismo público (20%). O eleitorado é **médio-grande** (78 mil aptos), com **maioria de eleitores com ensino superior** (57%)."
21,Riacho Fundo II,"Riacho Fundo II reúne moradores de **renda baixa** (R$ 1,5 mil per capita), com perfil de classes médias mistas. O eleitorado é **médio** (35 mil aptos), com cerca de 32% de eleitores com ensino superior."
22,Sudoeste/Octogonal,"Sudoeste/Octogonal reúne moradores de **renda alta** (R$ 8,1 mil per capita), com forte presença de classe A/B (61%) e presença relevante de funcionalismo público (18%). O eleitorado é **pequeno** (23 mil aptos), com **maioria de eleitores com ensino superior** (68%). É uma das RAs com maior **proporção de migrantes** — 70% dos moradores nasceram fora do DF."
23,Varjão,"Varjão reúne moradores de **renda baixa** (R$ 1,3 mil per capita), com perfil de classes médias mistas. O eleitorado é **pequeno** (7 mil aptos). **Insegurança alimentar elevada** atinge 43% dos domicílios."
24,Park Way,"Park Way reúne moradores de **renda alta** (R$ 8,5 mil per capita), com forte presença de classe A/B (90%). Esta RA **não tem zona eleitoral própria** no TSE 2022 — os números eleitorais são estimativas a partir das zonas vizinhas e devem ser lidos com essa ressalva."
25,SCIA/Estrutural,"SCIA/Estrutural reúne moradores de **renda baixa** (R$ 0,6 mil per capita), com predominância de classe D/E (66%). O eleitorado é **pequeno** (21 mil aptos), com cerca de 43% de eleitores com ensino superior."
26,Sobradinho II,"Sobradinho II reúne moradores de **renda média-baixa** (R$ 1,7 mil per capita), com presença significativa de classe A/B (34%). O eleitorado é **pequeno** (25 mil aptos), com cerca de 32% de eleitores com ensino superior."
27,Jardim Botânico,"Jardim Botânico reúne moradores de **renda alta** (R$ 5,9 mil per capita), com forte presença de classe A/B (78%) e presença relevante de funcionalismo público (20%). O eleitorado é **pequeno** (12 mil aptos), com cerca de 38% de eleitores com ensino superior."
28,Itapoã,"Itapoã reúne moradores de **renda baixa** (R$ 1,1 mil per capita), com perfil de classes médias mistas. O eleitorado é **pequeno** (18 mil aptos). **Insegurança alimentar elevada** atinge 47% dos domicílios."
